example_id                                                                        | status  | run_time        |
--------------------------------------------------------------------------------- | ------- | --------------- |
./spec/binding/cache_spec.rb[1:1:1]                                               | failed  | 0.02856 seconds |
./spec/binding/cache_spec.rb[1:1:2]                                               | passed  | 0.00122 seconds |
./spec/binding/cache_spec.rb[1:1:3]                                               | passed  | 0.00032 seconds |
./spec/binding/cache_spec.rb[1:1:4]                                               | failed  | 0.02904 seconds |
./spec/binding/cache_spec.rb[1:2:1]                                               | passed  | 0.0014 seconds  |
./spec/binding/cache_spec.rb[1:2:2]                                               | passed  | 0.00016 seconds |
./spec/binding/cache_spec.rb[1:2:3]                                               | failed  | 0.02877 seconds |
./spec/binding/cache_spec.rb[1:2:4]                                               | failed  | 0.02881 seconds |
./spec/binding/cache_spec.rb[1:2:5]                                               | failed  | 0.02881 seconds |
./spec/binding/cache_spec.rb[1:3:1]                                               | failed  | 0.03051 seconds |
./spec/binding/cache_spec.rb[1:3:2]                                               | failed  | 0.03223 seconds |
./spec/binding/cache_spec.rb[1:3:3]                                               | failed  | 0.03057 seconds |
./spec/binding/cache_spec.rb[1:3:4]                                               | failed  | 0.03257 seconds |
./spec/binding/cache_spec.rb[1:4:1]                                               | failed  | 0.03629 seconds |
./spec/binding/cache_spec.rb[1:5:1]                                               | failed  | 0.02895 seconds |
./spec/binding/cache_spec.rb[1:5:2]                                               | failed  | 0.11459 seconds |
./spec/binding/cache_spec.rb[1:6:1]                                               | failed  | 0.0386 seconds  |
./spec/binding/cache_spec.rb[1:6:2]                                               | failed  | 0.03074 seconds |
./spec/binding/cli_proxy_spec.rb[1:1:1:1]                                         | pending | 0 seconds       |
./spec/binding/cli_proxy_spec.rb[1:1:2:1]                                         | passed  | 0.00292 seconds |
./spec/binding/cli_proxy_spec.rb[1:2:1:1]                                         | pending | 0 seconds       |
./spec/binding/cli_proxy_spec.rb[1:2:1:2]                                         | pending | 0 seconds       |
./spec/binding/cli_proxy_spec.rb[1:3:1]                                           | passed  | 0.00042 seconds |
./spec/binding/cli_proxy_spec.rb[1:3:2]                                           | passed  | 0.00012 seconds |
./spec/binding/cli_proxy_spec.rb[1:4:1]                                           | passed  | 0.00002 seconds |
./spec/binding/cli_proxy_spec.rb[1:4:2]                                           | passed  | 0.00003 seconds |
./spec/binding/cli_proxy_spec.rb[1:5:1]                                           | passed  | 0.00002 seconds |
./spec/binding/cli_proxy_spec.rb[1:5:2]                                           | passed  | 0.00003 seconds |
./spec/binding/cli_proxy_spec.rb[1:6:1]                                           | passed  | 0.00069 seconds |
./spec/binding/cli_spec.rb[1:1:1]                                                 | pending | 0 seconds       |
./spec/binding/cli_spec.rb[1:1:2]                                                 | pending | 0 seconds       |
./spec/binding/cli_spec.rb[1:1:3]                                                 | pending | 0 seconds       |
./spec/binding/cli_spec.rb[1:2:1]                                                 | pending | 0.00001 seconds |
./spec/binding/cli_spec.rb[1:3:1]                                                 | pending | 0 seconds       |
./spec/binding/cli_spec.rb[1:4:1]                                                 | pending | 0 seconds       |
./spec/binding/config_spec.rb[1:1:1]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:1:2]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:1:3]                                              | passed  | 0.00003 seconds |
./spec/binding/config_spec.rb[1:2:1]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:2:2]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:2:3]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:3:1]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:3:2]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:3:3]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:4:1]                                              | passed  | 0.00022 seconds |
./spec/binding/config_spec.rb[1:4:2]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:4:3]                                              | passed  | 0.00003 seconds |
./spec/binding/config_spec.rb[1:5:1:1]                                            | passed  | 0.00005 seconds |
./spec/binding/config_spec.rb[1:5:1:2]                                            | passed  | 0.00005 seconds |
./spec/binding/config_spec.rb[1:5:1:3]                                            | passed  | 0.00005 seconds |
./spec/binding/config_spec.rb[1:5:1:4]                                            | passed  | 0.00006 seconds |
./spec/binding/config_spec.rb[1:5:1:5]                                            | passed  | 0.00007 seconds |
./spec/binding/config_spec.rb[1:5:1:6]                                            | passed  | 0.00013 seconds |
./spec/binding/config_spec.rb[1:5:1:7]                                            | passed  | 0.00005 seconds |
./spec/binding/config_spec.rb[1:5:1:8]                                            | passed  | 0.00006 seconds |
./spec/binding/config_spec.rb[1:5:1:9]                                            | passed  | 0.00004 seconds |
./spec/binding/config_spec.rb[1:5:1:10]                                           | passed  | 0.00005 seconds |
./spec/binding/config_spec.rb[1:5:1:11]                                           | passed  | 0.00004 seconds |
./spec/binding/config_spec.rb[1:5:1:12]                                           | passed  | 0.00023 seconds |
./spec/binding/config_spec.rb[1:5:1:13]                                           | passed  | 0.00007 seconds |
./spec/binding/config_spec.rb[1:5:2]                                              | passed  | 0.00003 seconds |
./spec/binding/config_spec.rb[1:5:3]                                              | passed  | 0.00004 seconds |
./spec/binding/config_spec.rb[1:5:4]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:5:5]                                              | passed  | 0.00003 seconds |
./spec/binding/config_spec.rb[1:5:6]                                              | passed  | 0.00028 seconds |
./spec/binding/config_spec.rb[1:6:1]                                              | passed  | 0.00002 seconds |
./spec/binding/config_spec.rb[1:6:2]                                              | passed  | 0.00014 seconds |
./spec/binding/config_spec.rb[1:6:3]                                              | passed  | 0.00003 seconds |
./spec/binding/config_spec.rb[1:6:4]                                              | passed  | 0.00004 seconds |
./spec/binding/config_spec.rb[1:6:5]                                              | passed  | 0.00036 seconds |
./spec/binding/config_validation_spec.rb[1:1:1]                                   | passed  | 0.00004 seconds |
./spec/binding/config_validation_spec.rb[1:1:2]                                   | passed  | 0.00003 seconds |
./spec/binding/config_validation_spec.rb[1:1:3]                                   | passed  | 0.00004 seconds |
./spec/binding/config_validation_spec.rb[1:1:4]                                   | passed  | 0.00026 seconds |
./spec/binding/config_validation_spec.rb[1:1:5]                                   | passed  | 0.00011 seconds |
./spec/binding/config_validation_spec.rb[1:1:6]                                   | passed  | 0.00015 seconds |
./spec/binding/config_validation_spec.rb[1:2:1]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:2:2]                                   | passed  | 0.00003 seconds |
./spec/binding/config_validation_spec.rb[1:2:3]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:3:1]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:3:2]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:3:3]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:4:1]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:4:2]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:4:3]                                   | passed  | 0.00002 seconds |
./spec/binding/config_validation_spec.rb[1:5:1]                                   | passed  | 0.00003 seconds |
./spec/binding/config_validation_spec.rb[1:5:2]                                   | passed  | 0.00003 seconds |
./spec/binding/config_validation_spec.rb[1:5:3]                                   | passed  | 0.00004 seconds |
./spec/binding/config_validation_spec.rb[1:6:1]                                   | failed  | 0.00138 seconds |
./spec/binding/config_validation_spec.rb[1:6:2]                                   | failed  | 0.0017 seconds  |
./spec/binding/config_validation_spec.rb[1:6:3]                                   | failed  | 0.00235 seconds |
./spec/binding/config_validation_spec.rb[1:6:4]                                   | failed  | 0.00196 seconds |
./spec/binding/error_handling_spec.rb[1:1:1]                                      | passed  | 0.00024 seconds |
./spec/binding/error_handling_spec.rb[1:1:2]                                      | passed  | 0.00132 seconds |
./spec/binding/error_handling_spec.rb[1:1:3]                                      | passed  | 0.00006 seconds |
./spec/binding/error_handling_spec.rb[1:2:1]                                      | passed  | 0.0002 seconds  |
